"Nonce","Incoming/Outgoing","Transaction Status","Category","Recipient Name","Token","Token Symbol","Tag","Token Amount","USD Amount","From Address","To Address","Description","Transaction Hash","Executed at","Transaction fees","Comment"
"1","Outgoing","Success","Bounty","FMurphy#8381","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","","200","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xdF2B0B3A8db9D5DDb285bD26D296f9D78CA4cF7f","Bounty payments August + first week of September","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:69 +02:00","0.010895 ETH","--"
"1","Outgoing","Success","Bounty","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","","225","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xbF0f24fD34bC76CD6d8Eb37cc99d4477ed3a98FB","Bounty payments August + first week of September","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:69 +02:00","0.010895 ETH","--"
"1","Outgoing","Success","Bounty","","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","","13.440860215053762","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xbF0f24fD34bC76CD6d8Eb37cc99d4477ed3a98FB","Bounty payments August + first week of September","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:69 +02:00","0.010895 ETH","--"
"1","Outgoing","Success","Bounty","","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","","53.76344086021505","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0x476ECEe2dE6E667e0CD5a8CaFF49e9e8926c11Eb","Bounty payments August + first week of September","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:69 +02:00","0.010895 ETH","--"
"1","Outgoing","Success","Bounty","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","","900","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0x476ECEe2dE6E667e0CD5a8CaFF49e9e8926c11Eb","Bounty payments August + first week of September","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:69 +02:00","0.010895 ETH","--"
"2","Outgoing","Success","Core Contributor Rewards","Cdogg#1999","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Community","3600","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xFDcAED0d50026621B4eB07E74e5DBdcb9971688b","Monthly Core Contributor Rewards for Community Guild (August)","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:36 +02:00","0.010895 ETH","--"
"2","Outgoing","Success","Core Contributor Rewards","Cdogg#1999","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Community","202.66504534630388","400","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xFDcAED0d50026621B4eB07E74e5DBdcb9971688b","Monthly Core Contributor Rewards for Community Guild (August)","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:36 +02:00","0.010895 ETH","--"
"2","Outgoing","Success","Core Contributor Rewards","iamcraftyarl#7867","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Community","3600","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xEAE65c628996F47914f37937d7bDDbCCB53f8FC2","Monthly Core Contributor Rewards for Community Guild (August)","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:36 +02:00","0.010895 ETH","--"
"2","Outgoing","Success","Core Contributor Rewards","iamcraftyarl#7867","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Community","202.66504534630388","400","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0xEAE65c628996F47914f37937d7bDDbCCB53f8FC2","Monthly Core Contributor Rewards for Community Guild (August)","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:36 +02:00","0.010895 ETH","--"
"2","Outgoing","Success","Core Contributor Rewards","blockchainlore#6080","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Community","3600","--","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0x1AdD50d7E889ad676Ed50d17930Ee790D784713C","Monthly Core Contributor Rewards for Community Guild (August)","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:36 +02:00","0.010895 ETH","--"
"2","Outgoing","Success","Core Contributor Rewards","blockchainlore#6080","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Community","202.66504534630388","400","0x59D5eD62F5AFe81Dea739E757bf7AD00bC533688","0x1AdD50d7E889ad676Ed50d17930Ee790D784713C","Monthly Core Contributor Rewards for Community Guild (August)","0xb657de5c6664580c70da2394854ea6780ea7f419b565ac1121d695fc75214001","12-09-2022 17:09:36 +02:00","0.010895 ETH","--"
