"Nonce","Incoming/Outgoing","Transaction Status","Category","Recipient Name","Token","Token Symbol","Tag","Token Amount","USD Amount","From Address","To Address","Description","Transaction Hash","Executed at","Transaction fees","Comment"
"9","Outgoing","Success","Core Contributor Rewards","nocibambi#3647","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Data","2700","--","0x29675e48606cF67603D501B85496AC7a842dABC3","0xB5d08d891Ee61775BDDa71C7F5190573868309aE","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","nocibambi#3647","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Data","151.99878400972793","300","0x29675e48606cF67603D501B85496AC7a842dABC3","0xB5d08d891Ee61775BDDa71C7F5190573868309aE","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","samkim#0726","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Data","2700","--","0x29675e48606cF67603D501B85496AC7a842dABC3","0x62ccd316e91EE0A0448E97251CdfA4dc660F34dc","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","samkim#0726","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Data","151.99878400972793","300","0x29675e48606cF67603D501B85496AC7a842dABC3","0x62ccd316e91EE0A0448E97251CdfA4dc660F34dc","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","Fabs#8423","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Data","3600","--","0x29675e48606cF67603D501B85496AC7a842dABC3","0xbF0f24fD34bC76CD6d8Eb37cc99d4477ed3a98FB","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","Fabs#8423","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Data","202.66504534630388","400","0x29675e48606cF67603D501B85496AC7a842dABC3","0xbF0f24fD34bC76CD6d8Eb37cc99d4477ed3a98FB","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","ifun#9490","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Ops","2250","--","0x29675e48606cF67603D501B85496AC7a842dABC3","0x51d93270eA1aD2ad0506c3BE61523823400E114C","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","ifun#9490","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Ops","126.66565334143993","250","0x29675e48606cF67603D501B85496AC7a842dABC3","0x51d93270eA1aD2ad0506c3BE61523823400E114C","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","Anukriti#6039","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","USDC","Ops","3600","--","0x29675e48606cF67603D501B85496AC7a842dABC3","0xfE11aB456115186999724725fDf479A9569A641c","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
"9","Outgoing","Success","Core Contributor Rewards","Anukriti#6039","0xa117000000f279D81A1D3cc75430fAA017FA5A2e","ANT","Ops","202.66504534630388","400","0x29675e48606cF67603D501B85496AC7a842dABC3","0xfE11aB456115186999724725fDf479A9569A641c","Core Contributor Rewards August (Eagle Ops)","0x8590990bbc8fc00266fe15987dab28c6ac14b697e920baa895689d0d7ae6b9d9","12-09-2022 17:09:15 +02:00","0.009485 ETH","--"
